Title,Category,Project Link,Proposer,Student Availability,CM COMP30030 Difficulty,CS COMP30040 Difficulty,PhD potential
Linux Kernel Testing with Large Language Models,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55314,Youcheng Sun,1 student,F,F,Yes
"MANETs, VANETs and FANETs",Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55035,Stewart Blakeway,4 students,M,M,No
Miner Extractable Value (MEV) opportunities,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55121,Bernardo Magri,1 student,H,H,Yes
Privacy Preserving and Verifiable Billing in Local Energy Markets,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55322,Mustafa Mustafa,2 students,H,H,No
Proof-of-stake Bitcoin,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55123,Bernardo Magri,1 student,H,H,Yes
Routing Protocol Performance in Mobile Ad hoc Networks,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55039,Stewart Blakeway,5 students,M,M,No
Software Compartmentalisation,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55069,Pierre Olivier,1 student,H,H,Yes
Verification and Testing of Deep Learning Systems,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55312,Youcheng Sun,1 student,F,F,Yes
Verifying Information Flow Security for Blockchain-based Smart Contracts,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55059,Lucas Cordeiro,2 students,M,M,No
Web3 Application,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55229,Bernardo Magri,4 students,F,F,Yes
A Deep Dive into Bregman Divergences,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55327,Gavin Brown,1 student,F,F,Yes
A Machine Learning approach to Crude Oil Price Prediction,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55144,Xiao-jun Zeng,1 student,F,F,No
A machine learning approach to forecasting of currency exchange rates,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55145,Xiao-jun Zeng,1 student,F,F,No
A robot-composer,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55385,Ainur Begalinova,1 student,F,F,Yes
Advancing Robotic Hand Manipulation for Diverse Object Interaction,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55375,Ainur Begalinova,2 students,F,F,Yes
AI Image Generation,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55344,Tingting Mu,3 students,H,H,No
An Investigation of Voting as a means to Resolve Moral Uncertainty,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55084,Louise Dennis,1 student,C,C,No
Applying Text Analytics and Machine Learning to Study AI/ML Research Trends,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55345,Tingting Mu,1 student,H,H,No
Audio Classification via Deep Learning,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55025,Ke Chen,3 students,N,H,Yes
Benchmarking Machine Ethics,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55085,Louise Dennis,1 student,H,C,No
Can ChatGPT help requirement engineers to classify user requirements?,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55217,Liping Zhao,3 students,H,C,Yes
Can ChatGPT help users to compose user stores for their software requirements?,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55222,Liping Zhao,3 students,C,M,Yes
Car Co-driver Mobile Phone App,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55293,Terry Morley,2 students,F,F,No
Chaotic Systems and Neural Nets,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55299,Anirbit Mukherjee,2 students,C,C,Yes
Character Recognition using Mathematical Morphology,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55168,Francisco Lobo,2 students,F,F,No
Classification of app reviews for requirements engineering using deep learning models,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55227,Liping Zhao,3 students,C,M,Yes
Cognitive Robotics and AI,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55042,Angelo Cangelosi,2 students,C,C,Yes
"Computational Fluid Dynamics, OpenFoam and Neural Operators",Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55301,Anirbit Mukherjee,2 students,M,M,Yes
Computing the size of game trees,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55306,Jon Shapiro,2 students,M,F,No
Constructing Explanations for Description Logic Reasoning,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55208,Francisco Lobo,2 students,F,F,No
Dashboard for symbolic machine learning prover SMLP,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55248,Konstantin Korovin,1 student,F,F,Yes
Enhancing human-robot interaction,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55379,Ainur Begalinova,2 students,F,F,Yes
Evidential-Bayes Theory for Continual Learning,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55351,Caprio Michele,2 students,F,F,Yes
Exploring Generalized Linear Models,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55349,Gavin Brown,1 student,C,C,Yes
Extending a Beliefs-Desires-Intentions Library for Python to allow Logical Reasoning,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55086,Louise Dennis,1 student,H,C,No
Face expression recognition,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55386,Ainur Begalinova,1 student,F,F,Yes
Facial Expression Analysis and Recognition via Deep Learning,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55030,Ke Chen,2 students,N,H,Yes
Feature compression for analysing models,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55244,Konstantin Korovin,1 student,H,H,Yes
Future Robotics Autonomy: Computer Vision-Based Third-View Smart Robot Control and Operation,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55376,Philip Zhao,6 students,F,F,Yes
Game Playing: Board or Card Games,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55219,Clare Dixon,5 students,F,F,No
Gradient-Clipping at the Edge-Of-Stability,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55307,Anirbit Mukherjee,3 students,M,M,Yes
Graph Embedding and Visualisation,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55346,Tingting Mu,3 students,H,H,Yes
Graphical Models for Optimization,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55305,Jon Shapiro,2 students,C,C,No
Guiding theorem prover for first-order logic using machine learning,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55240,Konstantin Korovin,1 student,H,H,Yes
High-dimensional Data Embedding and Visualisation,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55347,Tingting Mu,3 students,H,H,Yes
Human motion prediction,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55387,Ainur Begalinova,1 student,F,F,Yes
Humanoid Robot Control with Diffusion Models,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55206,Mingfei Sun,2 students,C,C,Yes
I will not let my brain stroke damage my life,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55093,Fumie Costen,1 student,C,C,Yes
Identifying players in Broadcast sports videos,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55418,Aphrodite Galata,3 students,C,C,Yes
Immersive NPC Interaction Design: Bridging the Gap Between Player Expectations and Industry Standards,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55044,Gareth Henshall,4 students,F,F,Yes
Imprecise PAC-Bayes Bounds and their Applications to Label Shift Problems,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55365,Caprio Michele,2 students,F,F,Yes
Improved simulated robot lab,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55218,Ian Pratt-hartmann,3 students,F,F,No
Integrating the CARLA Autonomous Car Simulator with the RoTRA Highway Code tool.,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55087,Louise Dennis,1 student,M,M,Yes
Interacting Ethical and Legal Considerations in Driverless Cars,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55088,Louise Dennis,1 student,H,C,No
