Title,Category,Project Link,Proposer,Student Availability,CM COMP30030 Difficulty,CS COMP30040 Difficulty,PhD potential,Thoughts
Modelling Polarization in Social Networks,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55125,Louise Dennis,2 students,F,F,Yes,Not considered
Modular Patch Storage/Library,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55261,Sean Bechhofer,1 student,F,F,No,Not considered
Modular Synthesis with VCV Rack,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55260,Sean Bechhofer,3 students,C,C,No,Not considered
My Little Operating System,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55266,Jim Garside,3 students,C,F,No,Not considered
My Mortgage Modeller,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55026,Gavin Brown,1 student,F,F,No,Not considered
N-Version Testing,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55289,Bijan Parsia,4 students,F,F,No,Not considered
Non-standard automated reasoning,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55184,Uli Sattler,4 students,F,F,Yes,Not considered
Panorama Creation,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55258,Sean Bechhofer,3 students,F,F,No,Not considered
Performance Estimation Across Instruction Set Architectures,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55067,Pierre Olivier,1 student,H,H,No,Not considered
Predicting a program's cache behaviour,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55190,Pavlos Petoumenos,1 student,F,F,Yes,Not considered
Privacy-cost trade-off in electricity load shifting (with LLMs),General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55319,Mustafa Mustafa,2 students,F,F,Yes,Not considered
Revolutionising Academic Scheduling with Advanced Timetabling Solutions,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55046,Gareth Henshall,2 students,F,F,No,Not considered
Room occupancy viewing and booking system,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55210,Paul Nutter,1 student,F,F,No,Not considered
"Simple assistive software: design, development, and evaluation",General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55057,Mary Mcgee Wood,3 students,C,M,Yes,Not considered
"Simple assistive software: design, development, and evaluation",General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55057,Mary Mcgee Wood,3 students,C,M,Yes,Not considered
Simulating string playing to make physical modelling synthesis more realistic,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55232,Joseph Razavi,1 student,F,F,No,Not considered
Social Network Analysis and Metrics,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55370,Rizos Sakellariou,2 students,C,C,Yes,Not considered
Software Analysis and Large Language Models,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55315,Youcheng Sun,1 student,F,H,Yes,Not considered
Statically predict the runtime behaviour of parts of a program,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55189,Pavlos Petoumenos,2 students,H,H,Yes,Not considered
Strategic Scheduling Solutions: Elevating the Six Nations Rugby Experience,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55043,Gareth Henshall,2 students,F,F,No,Not considered
Synaesthetic Computing,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55128,Kung-kiu Lau,3 students,F,F,No,Not considered
Teaching Software Engineering,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55290,Bijan Parsia,8 students,F,F,No,Not considered
Type 1 Diabetes Food Management System,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55198,Paul Nutter,1 student,F,F,No,Not considered
Validating semantic artefact profiles for Research Object Crates,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55352,Stian Soiland-reyes,2 students,F,F,Yes,Not considered
Verification of Deep Neural Networks,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55053,Lucas Cordeiro,2 students,F,F,No,Not considered
Verifying Python Programs in Robotic Applications,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55055,Lucas Cordeiro,2 students,F,F,No,Not considered
Visualising Infinity,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55129,Kung-kiu Lau,2 students,F,F,No,Not considered
Will it merge?,General Applications,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55188,Pavlos Petoumenos,1 student,C,C,Yes,Not considered
3D Hand tracking from monocular RGB,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55421,Aphrodite Galata,3 students,C,C,Yes,Not considered
Activity Monitor,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55101,Tim Morris,1 student,F,F,No,Not considered
Animation of avatars using human motion capture data,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55424,Aphrodite Galata,2 students,C,C,No,Not considered
Camera viewpoint,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55106,Tim Morris,1 student,H,C,No,Not considered
Chess Tutor,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55304,Terry Morley,2 students,F,F,Yes,Not considered
Climbing Animation Simulator,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55252,David Petrescu,2 students,F,F,No,Not considered
Computer Vision aids for the confused,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55105,Tim Morris,1 student,F,F,No,Not considered
GymBuddy: Computer Vision based Fitness Assistant,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55425,Aphrodite Galata,2 students,C,C,Yes,Not considered
Implementing a Graphical User Interface for Network Simulator 3,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55031,Stewart Blakeway,4 students,H,M,No,Not considered
Night-time image processing,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55104,Tim Morris,1 student,H,C,No,Not considered
Non-realtime rendering of a 3D scene as pixel art,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55235,Joseph Razavi,1 student,F,F,No,Not considered
Photo Collage,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55426,Aphrodite Galata,1 student,C,C,No,Not considered
Recognising Street Furniture,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55099,Tim Morris,1 student,F,F,No,Not considered
Sensitivity to complex geometry simplifications using Nanite.,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55202,David Petrescu,2 students,C,C,Yes,Not considered
Super Resolution,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55103,Tim Morris,1 student,F,F,No,Not considered
Tracking football players,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55420,Aphrodite Galata,2 students,C,C,No,Not considered
Video Synthesis,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55428,Aphrodite Galata,1 student,C,C,No,Not considered
Virtual Reality Models,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55100,Tim Morris,2 students,F,F,No,Not considered
Virtual tourist,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55109,Tim Morris,1 student,F,F,No,Not considered
What can I see?,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55098,Tim Morris,1 student,C,F,No,Not considered
Which way is up - extracting information from magnetic images,Graphical applications and systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55047,Tom Thomson,2 students,C,H,Yes,Not considered
A Blockchain-based Application,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55114,Ning Zhang,2 students,C,C,No,Not considered
A Cross-domain Auditing Service,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55116,Ning Zhang,2 students,C,M,No,Not considered
A RBAC (Role Based Access Control) Simulator,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55111,Ning Zhang,3 students,F,F,No,Not considered
Automated Testing of Neural Network Software Implementations via Fuzzing,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55404,Edoardo Manino,2 students,F,F,Yes,Not considered
Benchmark tests for FAIR Digital Objects,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55353,Stian Soiland-reyes,2 students,F,F,Yes,Not considered
Blockchain-based Online Poker,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55122,Bernardo Magri,1 student,F,F,Yes,Not considered
Directions on Cryptography,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55120,Bernardo Magri,2 students,H,H,Yes,Not considered
Host Based Intrusion Detection in a Cloud Environment,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55115,Ning Zhang,2 students,H,C,No,Not considered
Investigation of Digital Forensic Techniques,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55112,Ning Zhang,2 students,H,H,No,Not considered
Linux Kernel Testing with Large Language Models,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55314,Youcheng Sun,1 student,F,F,Yes,Not considered
"MANETs, VANETs and FANETs",Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55035,Stewart Blakeway,4 students,M,M,No,Not considered
"MANETs, VANETs and FANETs",Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55035,Stewart Blakeway,4 students,M,M,No,Not considered
Miner Extractable Value (MEV) opportunities,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55121,Bernardo Magri,1 student,H,H,Yes,Not considered
Privacy Preserving and Verifiable Billing in Local Energy Markets,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55322,Mustafa Mustafa,2 students,H,H,No,Not considered
Privacy-Preserving Neural Network Inference via Homomorphic Encryption,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55401,Edoardo Manino,2 students,F,F,Yes,Not considered
Proof-of-stake Bitcoin,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55123,Bernardo Magri,1 student,H,H,Yes,Not considered
Routing Protocol Performance in Mobile Ad hoc Networks,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55039,Stewart Blakeway,5 students,M,M,No,Not considered
Software Compartmentalisation,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55069,Pierre Olivier,1 student,H,H,Yes,Not considered
Verification and Testing of Deep Learning Systems,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55312,Youcheng Sun,1 student,F,F,Yes,Not considered
Verifying Information Flow Security for Blockchain-based Smart Contracts,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55059,Lucas Cordeiro,2 students,M,M,No,Not considered
Web3 Application,Communications and security,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55229,Bernardo Magri,4 students,F,F,Yes,Not considered
A Deep Dive into Bregman Divergences,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55327,Gavin Brown,1 student,F,F,Yes,Not considered
A Machine Learning approach to Crude Oil Price Prediction,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55144,Xiao-jun Zeng,1 student,F,F,No,Not considered
A machine learning approach to forecasting of currency exchange rates,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55145,Xiao-jun Zeng,1 student,F,F,No,Not considered
A robot-composer,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55385,Ainur Begalinova,1 student,F,F,Yes,Not considered
Advancing Robotic Hand Manipulation for Diverse Object Interaction,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55375,Ainur Begalinova,2 students,F,F,Yes,Not considered
AI Image Generation,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55344,Tingting Mu,3 students,H,H,No,Not considered
An Investigation of Voting as a means to Resolve Moral Uncertainty,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55084,Louise Dennis,1 student,C,C,No,Not considered
Applying Text Analytics and Machine Learning to Study AI/ML Research Trends,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55345,Tingting Mu,1 student,H,H,No,Not considered
Audio Classification via Deep Learning,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55025,Ke Chen,3 students,N,H,Yes,Not considered
Benchmarking Machine Ethics,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55085,Louise Dennis,1 student,H,C,No,Not considered
Bio-inspired vision with neuromorphic computing,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55400,Oliver Rhodes,7 students,H,C,Yes,Not considered
Can ChatGPT help requirement engineers to classify user requirements?,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55217,Liping Zhao,3 students,H,C,Yes,Not considered
Can ChatGPT help users to compose user stores for their software requirements?,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55222,Liping Zhao,3 students,C,M,Yes,Not considered
Car Co-driver Mobile Phone App,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55293,Terry Morley,2 students,F,F,No,Not considered
Chaotic Systems and Neural Nets,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55299,Anirbit Mukherjee,2 students,C,C,Yes,Not considered
Character Recognition using Mathematical Morphology,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55168,Francisco Lobo,2 students,F,F,No,Not considered
Classification of app reviews for requirements engineering using deep learning models,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55227,Liping Zhao,3 students,C,M,Yes,Not considered
Cognitive Robotics and AI,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55042,Angelo Cangelosi,2 students,C,C,Yes,Not considered
"Computational Fluid Dynamics, OpenFoam and Neural Operators",Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55301,Anirbit Mukherjee,2 students,M,M,Yes,Not considered
"Computational Fluid Dynamics, OpenFoam and Neural Operators",Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55301,Anirbit Mukherjee,2 students,M,M,Yes,Not considered
Computing the size of game trees,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55306,Jon Shapiro,2 students,M,F,No,Not considered
Constructing Explanations for Description Logic Reasoning,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55208,Francisco Lobo,2 students,F,F,No,Not considered
Dashboard for symbolic machine learning prover SMLP,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55248,Konstantin Korovin,1 student,F,F,Yes,Not considered
Deceptive Planning Techniques for Robotic Motion Planning Tasks,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55324,Ramon Fraga Pereira,2 students,F,F,No,Not considered
Enhancing human-robot interaction,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55379,Ainur Begalinova,2 students,F,F,Yes,Not considered
Evidential-Bayes Theory for Continual Learning,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55351,Caprio Michele,2 students,F,F,Yes,Not considered
Exploring dynamic deep neural network architectures,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55388,Davide Bertozzi,1 student,H,C,Yes,Not considered
Exploring Generalized Linear Models,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55349,Gavin Brown,1 student,C,C,Yes,Not considered
Extending a Beliefs-Desires-Intentions Library for Python to allow Logical Reasoning,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55086,Louise Dennis,1 student,H,C,No,Not considered
