Title,Category,Project Link,Proposer,Student Availability,CM COMP30030 Difficulty,CS COMP30040 Difficulty,PhD Potential
"Chess Tutor","Graphical applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55304","Terry Morley","2 students","F","F","True"
"Privacy Preserving and Verifiable Billing in Local Energy Markets","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55322","Mustafa Mustafa","2 students","H","H","False"
"Benchmark tests for FAIR Digital Objects","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55353","Stian Soiland-reyes","2 students","F","F","True"
"Linux Kernel Testing with Large Language Models","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55314","Youcheng Sun","1 student","F","F","True"
"Verification and Testing of Deep Learning Systems","Communications and security","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55312","Youcheng Sun","1 student","F","F","True"
"Tool to generate displays to illustrate probability and Bayes rule by using whole numbers.","Teaching Tools","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55303","Jon Shapiro","2 students","M","S","False"
"Recognition of Shapes and Handwriting for Collaborative Working","Human-Computer Interaction","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55295","Terry Morley","2 students","F","F","True"
"Exploring Human-AI Interaction: Bridging the Gap Between Users and Intelligent Systems","Human-Computer Interaction","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55377","Philip Zhao","2 students","F","F","True"
"Refactoring FRETish Requirements","Formal Systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55328","Marie Farrell","1 student","C","C","True"
"Specification Clones","Formal Systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55329","Marie Farrell","1 student","C","C","True"
"Exploring a model for sequential computation based on graph games","Formal Systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55284","Andrea Schalk","1 student","H","H","True"
"A Rule-Based Abstraction of an Autonomous Driving System","Formal Systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55311","Youcheng Sun","1 student","H","H","True"
"CS Computer Clusters ... are there any free PCs?","Web and web service systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55213","Paul Nutter","1 student","F","F","False"
"Building knowledge graphs using FAIR Signposting on the Web","Web and web service systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55348","Stian Soiland-reyes","2 students","F","F","True"
"Android Camera App with Sensor Data","Mobile applications and systems","http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55292","Terry Morley","2 students","F","F","False"
